https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1648368600000,2022-03-27 08:10:00,BTC/USDT,44708.99,44709,44706.63,44706.63,9.68631
1648368540000,2022-03-27 08:09:00,BTC/USDT,44728.93,44728.94,44707.59,44709,5.84902
1648368480000,2022-03-27 08:08:00,BTC/USDT,44713.09,44730.87,44713.08,44728.93,6.14178
1648368420000,2022-03-27 08:07:00,BTC/USDT,44724.59,44724.6,44709.37,44713.08,19.324
1648368360000,2022-03-27 08:06:00,BTC/USDT,44736.59,44736.59,44724.59,44724.59,5.43379
1648368300000,2022-03-27 08:05:00,BTC/USDT,44736.58,44745.41,44736.58,44736.58,17.20391
1648368240000,2022-03-27 08:04:00,BTC/USDT,44747.94,44747.94,44736.01,44736.59,6.06626
1648368180000,2022-03-27 08:03:00,BTC/USDT,44733.52,44747.94,44733.52,44747.93,3.59739
1648368120000,2022-03-27 08:02:00,BTC/USDT,44729.98,44733.53,44728.99,44733.52,3.87007
1648368060000,2022-03-27 08:01:00,BTC/USDT,44734.06,44734.07,44724.68,44729.98,31.8365
1648368000000,2022-03-27 08:00:00,BTC/USDT,44734.06,44737.95,44734.06,44734.07,9.09962
1648367940000,2022-03-27 07:59:00,BTC/USDT,44747.5,44748.39,44733.62,44734.06,8.33811
1648367880000,2022-03-27 07:58:00,BTC/USDT,44725.96,44750,44724.97,44747.49,46.77259
1648367820000,2022-03-27 07:57:00,BTC/USDT,44709.99,44729.95,44709.99,44725.95,16.51112
1648367760000,2022-03-27 07:56:00,BTC/USDT,44702.52,44710,44702.51,44709.99,8.2154
1648367700000,2022-03-27 07:55:00,BTC/USDT,44702.51,44702.52,44702.51,44702.52,2.86032
1648367640000,2022-03-27 07:54:00,BTC/USDT,44702.51,44702.52,44702.51,44702.51,2.32393
1648367580000,2022-03-27 07:53:00,BTC/USDT,44709.45,44710,44702.51,44702.52,9.09132
1648367520000,2022-03-27 07:52:00,BTC/USDT,44705.93,44709.45,44705.92,44709.45,4.14447
1648367460000,2022-03-27 07:51:00,BTC/USDT,44687.03,44705.93,44687.02,44705.92,10.36631
1648367400000,2022-03-27 07:50:00,BTC/USDT,44679.74,44689.35,44679.73,44687.03,17.07278
1648367340000,2022-03-27 07:49:00,BTC/USDT,44681.01,44681.01,44677.5,44679.74,6.37906
1648367280000,2022-03-27 07:48:00,BTC/USDT,44670.04,44687.49,44670.03,44681,8.99419
1648367220000,2022-03-27 07:47:00,BTC/USDT,44681,44681.01,44670.03,44670.04,7.87733
1648367160000,2022-03-27 07:46:00,BTC/USDT,44685.02,44685.02,44681,44681,4.7226
1648367100000,2022-03-27 07:45:00,BTC/USDT,44681.5,44690.72,44681.49,44685.01,5.36762
1648367040000,2022-03-27 07:44:00,BTC/USDT,44690.02,44690.02,44681.49,44681.5,4.56743
1648366980000,2022-03-27 07:43:00,BTC/USDT,44693.22,44693.22,44684.5,44690.01,6.05355
1648366920000,2022-03-27 07:42:00,BTC/USDT,44701.36,44701.36,44693.21,44693.21,4.97603
1648366860000,2022-03-27 07:41:00,BTC/USDT,44691.03,44701.36,44691.02,44701.35,5.08288
1648366800000,2022-03-27 07:40:00,BTC/USDT,44703.99,44705.35,44691.02,44691.03,16.93915
1648366740000,2022-03-27 07:39:00,BTC/USDT,44677.41,44703.99,44677.41,44703.98,5.49525
1648366680000,2022-03-27 07:38:00,BTC/USDT,44676.95,44677.42,44676.95,44677.41,1.86606
1648366620000,2022-03-27 07:37:00,BTC/USDT,44687.52,44689.06,44676.95,44676.96,21.54258
1648366560000,2022-03-27 07:36:00,BTC/USDT,44675.23,44687.52,44675.23,44687.52,5.50178
1648366500000,2022-03-27 07:35:00,BTC/USDT,44677.51,44677.51,44675,44675.23,5.07864
1648366440000,2022-03-27 07:34:00,BTC/USDT,44678.71,44678.72,44677.5,44677.51,9.50396
1648366380000,2022-03-27 07:33:00,BTC/USDT,44679.16,44679.16,44678.71,44678.72,3.83875
1648366320000,2022-03-27 07:32:00,BTC/USDT,44693.01,44693.01,44674.53,44679.15,15.35622
1648366260000,2022-03-27 07:31:00,BTC/USDT,44693.01,44697.45,44693,44693.01,5.46214
1648366200000,2022-03-27 07:30:00,BTC/USDT,44695.24,44695.24,44693,44693.01,5.74819
1648366140000,2022-03-27 07:29:00,BTC/USDT,44697.44,44697.45,44695.23,44695.24,4.26805
1648366080000,2022-03-27 07:28:00,BTC/USDT,44708.15,44708.16,44697.44,44697.45,5.18063
1648366020000,2022-03-27 07:27:00,BTC/USDT,44700.29,44708.16,44700.29,44708.15,10.17451
1648365960000,2022-03-27 07:26:00,BTC/USDT,44705.35,44705.36,44700.29,44700.3,4.62142
1648365900000,2022-03-27 07:25:00,BTC/USDT,44705.38,44705.39,44703.36,44705.36,12.19718
1648365840000,2022-03-27 07:24:00,BTC/USDT,44722.04,44722.04,44705.38,44705.38,16.92107
1648365780000,2022-03-27 07:23:00,BTC/USDT,44706.29,44722.04,44706.28,44722.03,12.55932
1648365720000,2022-03-27 07:22:00,BTC/USDT,44700.2,44712.49,44700.2,44706.29,6.9959
1648365660000,2022-03-27 07:21:00,BTC/USDT,44703.25,44703.25,44700.2,44700.21,11.71462
1648365600000,2022-03-27 07:20:00,BTC/USDT,44721.53,44721.53,44703.24,44703.24,21.38211
1648365540000,2022-03-27 07:19:00,BTC/USDT,44699.85,44722.56,44695.01,44721.53,17.01002
1648365480000,2022-03-27 07:18:00,BTC/USDT,44676.11,44699.86,44676.11,44699.85,6.83914
1648365420000,2022-03-27 07:17:00,BTC/USDT,44675.73,44676.12,44675.72,44676.12,5.18839
1648365360000,2022-03-27 07:16:00,BTC/USDT,44683.34,44683.35,44666.95,44675.72,21.3527
1648365300000,2022-03-27 07:15:00,BTC/USDT,44685.92,44698.18,44683.34,44683.34,18.60119
1648365240000,2022-03-27 07:14:00,BTC/USDT,44677.13,44685.93,44677.13,44685.92,4.89969
1648365180000,2022-03-27 07:13:00,BTC/USDT,44671.3,44677.14,44670.25,44677.14,5.87211
1648365120000,2022-03-27 07:12:00,BTC/USDT,44668.01,44671.3,44668.01,44671.3,8.10256
1648365060000,2022-03-27 07:11:00,BTC/USDT,44663.18,44668.02,44663.18,44668.01,13.16066
1648365000000,2022-03-27 07:10:00,BTC/USDT,44661.04,44663.19,44661.04,44663.19,6.19485
1648364940000,2022-03-27 07:09:00,BTC/USDT,44657.52,44661.05,44657.51,44661.05,8.10822
1648364880000,2022-03-27 07:08:00,BTC/USDT,44653.06,44657.52,44650.49,44657.52,10.31261
1648364820000,2022-03-27 07:07:00,BTC/USDT,44650.42,44663.5,44650.41,44653.07,9.62652
1648364760000,2022-03-27 07:06:00,BTC/USDT,44650.41,44650.42,44650.41,44650.41,3.60295
1648364700000,2022-03-27 07:05:00,BTC/USDT,44643.19,44650.42,44643.19,44650.41,7.56307
1648364640000,2022-03-27 07:04:00,BTC/USDT,44643.2,44643.2,44643.19,44643.19,1.49629
1648364580000,2022-03-27 07:03:00,BTC/USDT,44649,44649.01,44643.19,44643.19,13.56276
1648364520000,2022-03-27 07:02:00,BTC/USDT,44649,44649.01,44649,44649,2.57203
1648364460000,2022-03-27 07:01:00,BTC/USDT,44640.65,44649.08,44640.64,44649,13.60069
1648364400000,2022-03-27 07:00:00,BTC/USDT,44656.39,44656.4,44640.64,44640.64,21.88682
1648364340000,2022-03-27 06:59:00,BTC/USDT,44649.99,44656.4,44649.99,44656.4,2.58109
1648364280000,2022-03-27 06:58:00,BTC/USDT,44639.99,44650,44639.98,44649.99,16.61163
1648364220000,2022-03-27 06:57:00,BTC/USDT,44640,44640,44637.09,44639.98,11.55594
1648364160000,2022-03-27 06:56:00,BTC/USDT,44650,44650.01,44639,44639.99,4.61357
1648364100000,2022-03-27 06:55:00,BTC/USDT,44656.5,44660.79,44650,44650.01,8.3739
1648364040000,2022-03-27 06:54:00,BTC/USDT,44656.49,44656.5,44656.49,44656.5,2.64047
1648363980000,2022-03-27 06:53:00,BTC/USDT,44643.36,44656.5,44643.35,44656.49,8.19833
1648363920000,2022-03-27 06:52:00,BTC/USDT,44647.85,44647.85,44643.35,44643.36,5.10199
1648363860000,2022-03-27 06:51:00,BTC/USDT,44660.15,44660.15,44647.84,44647.84,10.78471
1648363800000,2022-03-27 06:50:00,BTC/USDT,44669.54,44669.55,44660.14,44660.15,4.23586
1648363740000,2022-03-27 06:49:00,BTC/USDT,44657.72,44669.55,44657.72,44669.55,5.47139
1648363680000,2022-03-27 06:48:00,BTC/USDT,44665.67,44665.68,44656.33,44657.73,9.73025
1648363620000,2022-03-27 06:47:00,BTC/USDT,44664.65,44669.83,44664.64,44665.68,7.59161
1648363560000,2022-03-27 06:46:00,BTC/USDT,44674.42,44676.29,44664.64,44664.65,6.21983
1648363500000,2022-03-27 06:45:00,BTC/USDT,44673.5,44676.3,44660.21,44674.41,8.10954
1648363440000,2022-03-27 06:44:00,BTC/USDT,44667.43,44673.51,44667.43,44673.5,4.27311
1648363380000,2022-03-27 06:43:00,BTC/USDT,44667.4,44667.44,44667.39,44667.44,12.79703
1648363320000,2022-03-27 06:42:00,BTC/USDT,44666.96,44672,44666.96,44667.39,9.90646
1648363260000,2022-03-27 06:41:00,BTC/USDT,44665.27,44666.97,44660,44666.96,8.43276
1648363200000,2022-03-27 06:40:00,BTC/USDT,44670.48,44682.54,44665.26,44665.27,13.00042
